sentence,label,object_type,object,difficulty,subject_type,subject,template_id,split
Egy levelet ma a diákok [VERB].,indefinite,indefinite_article,egy levelet,easy,noun,A diákok,train_noun_053,train
Gábor az iskolában [VERB] mindkettőt.,definite,definite_quantifier,mindkettőt,tricky,noun,Gábor,train_noun_045,train
[VERB] magukat.,definite,third_person_pronoun,magukat,tricky,none,,train_none_000,train
Este [VERB] egy levelet.,indefinite,indefinite_article,egy levelet,easy,none,,train_none_006,train
A tanár [VERB] mindent.,indefinite,universal_pronoun,mindent,tricky,noun,A tanár,train_noun_000,train
Gyakran [VERB] néhányat.,indefinite,indefinite_pronoun,néhányat,tricky,none,,train_none_003,train
Amazt gyakran [VERB].,definite,demonstrative_pronoun,amazt,tricky,none,,train_none_011,train
Ma [VERB] magukat.,definite,third_person_pronoun,magukat,tricky,none,,train_none_001,train
Este [VERB] egy vacsorát.,indefinite,indefinite_article,egy vacsorát,easy,none,,train_none_006,train
Gyakran [VERB] az almát.,definite,definite_article,az almát,easy,none,,train_none_003,train
Egy előadást ma [VERB].,indefinite,indefinite_article,egy előadást,easy,none,,train_none_009,train
[VERB] az utolsó kérdést.,definite,modified_definite_np,az utolsó kérdést,easy,none,,train_none_000,train
[VERB] mindet.,definite,definite_quantifier,mindet,tricky,none,,train_none_000,train
Katalin az iskolában [VERB] mindet.,definite,definite_quantifier,mindet,tricky,noun,Katalin,train_noun_039,train
Tegnap [VERB] bárkit.,indefinite,indefinite_pronoun,bárkit,easy,none,,train_none_002,train
A könyvet gyakran [VERB].,definite,definite_article,a könyvet,easy,none,,train_none_011,train
Pétert ma Péter [VERB].,definite,proper_noun,Pétert,easy,noun,Péter,train_noun_035,train
[VERB] levelet.,indefinite,bare_noun,levelet,easy,none,,train_none_000,train
Mindkettőt ma Gábor [VERB].,definite,definite_quantifier,mindkettőt,tricky,noun,Gábor,train_noun_047,train
A diákok az iskolában [VERB] Lászlót.,definite,proper_noun,Lászlót,easy,noun,A diákok,train_noun_051,train
Mindegyiket Katalin [VERB].,definite,definite_quantifier,mindegyiket,tricky,noun,Katalin,train_noun_040,train
Azt a levelet a gyerek [VERB].,definite,demonstrative,azt a levelet,easy,noun,A gyerek,train_noun_016,train
Emezt tegnap [VERB].,definite,demonstrative_pronoun,emezt,tricky,none,,train_none_010,train
Most [VERB] az egészet.,definite,definite_quantifier,az egészet,tricky,none,,train_none_007,train
Este [VERB] pár kérdést.,indefinite,quantified_indefinite_np,pár kérdést,medium,none,,train_none_006,train
A tanár gyakran [VERB] azt az üzenetet.,definite,demonstrative,azt az üzenetet,easy,noun,A tanár,train_noun_002,train
Reggel [VERB] minden egyes dolgot.,indefinite,universal_pronoun,minden egyes dolgot,tricky,none,,train_none_005,train
Gyakran [VERB] mindegyiket.,definite,definite_quantifier,mindegyiket,tricky,none,,train_none_003,train
Este [VERB] azt a levelet.,definite,demonstrative,azt a levelet,easy,none,,train_none_006,train
Gábor gyakran [VERB] mindenkit.,indefinite,universal_pronoun,mindenkit,tricky,noun,Gábor,train_noun_044,train
Gábort ma a diákok [VERB].,definite,proper_noun,Gábort,easy,noun,A diákok,train_noun_053,train
Este [VERB] Katalint.,definite,proper_noun,Katalint,easy,none,,train_none_006,train
Előadást gyakran [VERB].,indefinite,bare_noun,előadást,easy,none,,train_none_011,train
Ma [VERB] vacsorát.,indefinite,bare_noun,vacsorát,easy,none,,train_none_001,train
Néhány könyvet a diákok [VERB].,indefinite,quantified_indefinite_np,néhány könyvet,medium,noun,A diákok,train_noun_052,train
Mindenkit gyakran [VERB].,indefinite,universal_pronoun,mindenkit,tricky,none,,train_none_011,train
[VERB] vacsorát.,indefinite,bare_noun,vacsorát,easy,none,,train_none_000,train
Gyakran [VERB] amazt.,definite,demonstrative_pronoun,amazt,tricky,none,,train_none_003,train
Ma [VERB] akármit.,indefinite,indefinite_pronoun,akármit,tricky,none,,train_none_001,train
Tegnap [VERB] kevés hibát.,indefinite,quantified_indefinite_np,kevés hibát,medium,none,,train_none_002,train
Este [VERB] néhányat.,indefinite,indefinite_pronoun,néhányat,tricky,none,,train_none_006,train
Ma [VERB] az új telefont.,definite,modified_definite_np,az új telefont,easy,none,,train_none_001,train
Több almát tegnap [VERB].,indefinite,quantified_indefinite_np,több almát,medium,none,,train_none_010,train
Kevés hibát tegnap [VERB].,indefinite,quantified_indefinite_np,kevés hibát,medium,none,,train_none_010,train
Reggel [VERB] magát.,definite,third_person_pronoun,magát,tricky,none,,train_none_005,train
